Entity,Code,Year,Police,Legislature,Government officials,Local government councillors,Prime Minister / President,Tax officials,Business executives,Judges and magistrates,Religious leaders,Traditional leaders
Afghanistan,AFG,2013,33,40,43,,,,35,60,20,
Africa,,2013,88,61,67,,,,48,74,22,
Africa,,2015,47,33,38,33,31,37,42,34,15,21
Albania,ALB,2013,58,66,52,,,,29,81,9,
Algeria,DZA,2013,66,62,62,,,,74,72,15,
Argentina,ARG,2013,70,72,77,,,,49,65,34,
Armenia,ARM,2013,66,57,68,,,,51,69,39,
Asia Pacific,,2013,63,54,55,,,,39,45,27,
Asia Pacific,,2017,39,37,35,35,31,29,29,25,18,
Australia,AUS,2013,33,36,35,,,,47,28,44,
Australia,AUS,2017,5,12,12,,,,20,4,17,
Azerbaijan,AZE,2013,41,29,37,,,,35,42,26,
Bangladesh,BGD,2013,64,41,29,,,,18,53,4,
Belgium,BEL,2013,41,51,51,,,,41,43,56,
Bolivia,BOL,2013,86,68,69,,,,33,76,19,
Bosnia and Herzegovina,BIH,2013,62,67,67,,,,52,65,33,
Brazil,BRA,2013,70,72,46,,,,35,50,31,
Bulgaria,BGR,2013,65,71,64,,,,63,86,49,
Burundi,BDI,2013,82,15,49,,,,40,69,1,
Cambodia,KHM,2013,37,16,30,,,,20,60,6,
Cambodia,KHM,2017,51,26,44,,,,25,59,6,
Cameroon,CMR,2013,86,62,72,,,,54,81,32,
Canada,CAN,2013,27,47,38,,,,48,25,33,
Chile,CHL,2013,53,68,58,,,,65,67,45,
China,CHN,2017,12,8,9,,,,10,9,,
Colombia,COL,2013,61,79,70,,,,38,64,37,
Croatia,HRV,2013,51,63,64,,,,50,70,31,
Cyprus,CYP,2013,76,76,59,,,,37,38,44,
Czechia,CZE,2013,54,59,71,,,,45,52,17,
Democratic Republic of Congo,COD,2013,86,84,85,,,,68,87,25,
Denmark,DNK,2013,9,18,11,,,,31,5,39,
Egypt,EGY,2013,78,71,76,,,,48,65,31,
El Salvador,SLV,2013,87,70,76,,,,46,81,31,
Estonia,EST,2013,17,33,38,,,,41,26,12,
Ethiopia,ETH,2013,42,23,35,,,,29,35,27,
Europe and Central Asia,,2013,50,61,56,,,,49,57,31,
Europe and Central Asia,,2016,22,31,30,26,25,25,26,24,17,
Fiji,FJI,2013,45,35,49,,,,55,30,22,
Finland,FIN,2013,5,31,25,,,,42,9,15,
France,FRA,2013,41,52,48,,,,61,34,31,
Georgia,GEO,2013,26,34,26,,,,28,51,8,
Germany,DEU,2013,20,48,49,,,,61,20,34,
Ghana,GHA,2013,92,57,59,,,,38,71,21,
Greece,GRC,2013,56,83,66,,,,65,66,49,
Hong Kong,HKG,2017,16,15,11,,,,21,5,7,
Hungary,HUN,2013,38,56,36,,,,63,33,20,
India,IND,2013,75,65,65,,,,50,45,44,
India,IND,2017,54,33,45,,,,38,25,33,
Indonesia,IDN,2013,91,89,79,,,,54,86,31,
Indonesia,IDN,2017,40,54,50,,,,25,32,7,
Iraq,IRQ,2013,30,34,32,,,,23,26,11,
Israel,ISR,2013,51,,60,,,,49,33,73,
Italy,ITA,2013,27,77,61,,,,52,47,39,
Jamaica,JAM,2013,86,74,46,,,,36,47,19,
Japan,JPN,2013,61,76,66,,,,41,29,74,
Japan,JPN,2017,8,31,26,,,,19,3,36,
Kazakhstan,KAZ,2013,66,27,53,,,,40,63,15,
Kenya,KEN,2013,95,68,59,,,,29,58,15,
Kosovo,OWID_KOS,2013,39,66,44,,,,52,80,17,
Kyrgyzstan,KGZ,2013,90,77,90,,,,57,89,25,
Latin America and the Caribbean,,2013,75,71,64,,,,44,67,31,
Latin America and the Caribbean,,2017,47,47,37,45,43,36,36,40,25,
Latvia,LVA,2013,47,56,63,,,,46,48,13,
Lebanon,LBN,2013,65,68,68,,,,68,69,65,
Liberia,LBR,2013,94,96,67,,,,78,89,22,
Libya,LBY,2013,48,38,48,,,,31,35,44,
Lithuania,LTU,2013,67,80,69,,,,56,79,20,
Luxembourg,LUX,2013,29,33,40,,,,48,24,44,
Madagascar,MDG,2013,87,62,77,,,,42,89,11,
Malawi,MWI,2013,95,64,82,,,,62,75,24,
Malaysia,MYS,2013,76,44,46,,,,40,35,6,
Malaysia,MYS,2017,57,41,45,,,,46,33,31,
Maldives,MDV,2013,47,78,45,,,,42,69,30,
Mexico,MEX,2013,90,83,87,,,,51,80,43,
Middle East and North Africa,,2013,65,60,61,,,,54,60,38,
Middle East and North Africa,,2016,34,45,45,40,33,45,40,31,19,29
Moldova,MDA,2013,76,75,66,,,,53,80,20,
Mongolia,MNG,2013,66,63,77,,,,45,73,11,
Mongolia,MNG,2017,28,46,39,,,,24,27,11,
Morocco,MAR,2013,79,65,73,,,,56,70,22,
Mozambique,MOZ,2013,84,49,74,,,,45,69,24,
Myanmar,MMR,2017,47,17,26,,,,20,40,2,
Nepal,NPL,2013,80,79,85,,,,54,77,33,
New Zealand,NZL,2013,24,33,25,,,,36,20,35,
Nigeria,NGA,2013,92,73,69,,,,41,66,24,
North Macedonia,MKD,2013,53,53,55,,,,39,68,33,
Norway,NOR,2013,16,21,29,,,,41,9,40,
Pakistan,PAK,2013,82,63,81,,,,43,45,27,
Pakistan,PAK,2017,76,55,60,,,,44,41,35,
Palestine,PSE,2013,28,26,25,,,,24,22,20,
Papua New Guinea,PNG,2013,85,63,70,,,,40,41,7,
Paraguay,PRY,2013,82,86,58,,,,28,79,16,
Peru,PER,2013,80,80,65,,,,50,85,22,
Philippines,PHL,2013,69,52,64,,,,30,56,15,
Portugal,PRT,2013,38,66,46,,,,51,66,35,
Romania,ROU,2013,54,68,50,,,,49,58,23,
Russia,RUS,2013,89,83,92,,,,57,84,40,
Rwanda,RWA,2013,21,1,9,,,,10,16,3,
Senegal,SEN,2013,77,60,65,,,,39,73,31,
Serbia,SRB,2013,69,69,78,,,,56,82,32,
Sierra Leone,SLE,2013,79,53,42,,,,38,74,18,
Slovakia,SVK,2013,60,61,66,,,,45,69,32,
Slovenia,SVN,2013,39,67,50,,,,42,54,40,
Solomon Islands,SLB,2013,85,48,53,,,,29,19,3,
South Africa,ZAF,2013,83,70,74,,,,54,50,24,
South Korea,KOR,2013,35,64,36,,,,33,38,43,
South Korea,KOR,2017,41,79,69,,,,60,41,35,
South Sudan,SSD,2013,43,51,46,,,,62,60,70,
Spain,ESP,2013,37,67,42,,,,43,51,41,
Sri Lanka,LKA,2013,64,39,33,,,,23,21,10,
Sri Lanka,LKA,2017,31,36,17,,,,9,4,3,
Sudan,SDN,2013,68,77,68,,,,71,66,79,
Switzerland,CHE,2013,13,25,23,,,,36,14,25,
Taiwan,TWN,2013,56,75,56,,,,44,57,33,
Taiwan,TWN,2017,18,49,16,,,,22,24,23,
Tanzania,TZA,2013,87,53,75,,,,48,86,23,
Thailand,THA,2013,71,45,58,,,,37,18,12,
Thailand,THA,2017,78,73,56,,,,55,22,15,
Tunisia,TUN,2013,69,40,49,,,,36,56,27,
Turkey,TUR,2013,38,55,42,,,,50,43,41,
Uganda,UGA,2013,88,57,73,,,,37,79,12,
Ukraine,UKR,2013,84,77,82,,,,65,87,37,
United Kingdom,GBR,2013,32,55,45,,,,49,24,34,
United States,USA,2013,42,61,55,,,,53,42,35,
Uruguay,URY,2013,47,38,40,,,,34,39,37,
Vanuatu,VUT,2013,60,72,73,,,,33,42,10,
Venezuela,VEN,2013,83,66,79,,,,63,74,43,
Vietnam,VNM,2013,72,28,55,,,,33,53,15,
Vietnam,VNM,2017,55,24,30,,,,34,27,14,
World,OWID_WRL,2013,68,61,61,,,,47,61,30,
World,OWID_WRL,2017,38,38,37,36,33,34,35,31,19,25
Yemen,YEM,2013,69,74,68,,,,53,62,45,
Zambia,ZMB,2013,92,49,65,,,,59,83,32,
Zimbabwe,ZWE,2013,86,69,70,,,,63,69,40,